pore_volumes,scenario,retardation_factor,normalized_concentration
0.000,Conservative tracer,1.0,0.006693
0.040,Conservative tracer,1.0,0.008163
0.080,Conservative tracer,1.0,0.009952
0.120,Conservative tracer,1.0,0.012128
0.160,Conservative tracer,1.0,0.014774
0.200,Conservative tracer,1.0,0.017986
0.240,Conservative tracer,1.0,0.021881
0.280,Conservative tracer,1.0,0.026597
0.320,Conservative tracer,1.0,0.032295
0.360,Conservative tracer,1.0,0.039166
0.400,Conservative tracer,1.0,0.047426
0.440,Conservative tracer,1.0,0.057324
0.480,Conservative tracer,1.0,0.069138
0.520,Conservative tracer,1.0,0.083173
0.560,Conservative tracer,1.0,0.099750
0.600,Conservative tracer,1.0,0.119203
0.640,Conservative tracer,1.0,0.141851
0.680,Conservative tracer,1.0,0.167982
0.720,Conservative tracer,1.0,0.197816
0.760,Conservative tracer,1.0,0.231475
0.800,Conservative tracer,1.0,0.268941
0.840,Conservative tracer,1.0,0.310026
0.880,Conservative tracer,1.0,0.354344
0.920,Conservative tracer,1.0,0.401312
0.960,Conservative tracer,1.0,0.450166
1.000,Conservative tracer,1.0,0.500000
1.040,Conservative tracer,1.0,0.549834
1.080,Conservative tracer,1.0,0.598688
1.120,Conservative tracer,1.0,0.645656
1.160,Conservative tracer,1.0,0.689974
1.200,Conservative tracer,1.0,0.731059
1.240,Conservative tracer,1.0,0.768525
1.280,Conservative tracer,1.0,0.802184
1.320,Conservative tracer,1.0,0.832018
1.360,Conservative tracer,1.0,0.858149
1.400,Conservative tracer,1.0,0.880797
1.440,Conservative tracer,1.0,0.900250
1.480,Conservative tracer,1.0,0.916827
1.520,Conservative tracer,1.0,0.930862
1.560,Conservative tracer,1.0,0.942676
1.600,Conservative tracer,1.0,0.952574
1.640,Conservative tracer,1.0,0.960834
1.680,Conservative tracer,1.0,0.967705
1.720,Conservative tracer,1.0,0.973403
1.760,Conservative tracer,1.0,0.978119
1.800,Conservative tracer,1.0,0.982014
1.840,Conservative tracer,1.0,0.985226
1.880,Conservative tracer,1.0,0.987872
1.920,Conservative tracer,1.0,0.990048
1.960,Conservative tracer,1.0,0.991837
2.000,Conservative tracer,1.0,0.993307
2.040,Conservative tracer,1.0,0.994514
2.080,Conservative tracer,1.0,0.995504
2.120,Conservative tracer,1.0,0.996316
2.160,Conservative tracer,1.0,0.996982
2.200,Conservative tracer,1.0,0.997527
2.240,Conservative tracer,1.0,0.997975
2.280,Conservative tracer,1.0,0.998341
2.320,Conservative tracer,1.0,0.998641
2.360,Conservative tracer,1.0,0.998887
2.400,Conservative tracer,1.0,0.999089
2.440,Conservative tracer,1.0,0.999254
2.480,Conservative tracer,1.0,0.999389
2.520,Conservative tracer,1.0,0.999500
2.560,Conservative tracer,1.0,0.999590
2.600,Conservative tracer,1.0,0.999665
2.640,Conservative tracer,1.0,0.999725
2.680,Conservative tracer,1.0,0.999775
2.720,Conservative tracer,1.0,0.999816
2.760,Conservative tracer,1.0,0.999849
2.800,Conservative tracer,1.0,0.999877
2.840,Conservative tracer,1.0,0.999899
2.880,Conservative tracer,1.0,0.999917
2.920,Conservative tracer,1.0,0.999932
2.960,Conservative tracer,1.0,0.999945
3.000,Conservative tracer,1.0,0.999955
3.040,Conservative tracer,1.0,0.999963
3.080,Conservative tracer,1.0,0.999970
3.120,Conservative tracer,1.0,0.999975
3.160,Conservative tracer,1.0,0.999980
3.200,Conservative tracer,1.0,0.999983
3.240,Conservative tracer,1.0,0.999986
3.280,Conservative tracer,1.0,0.999989
3.320,Conservative tracer,1.0,0.999991
3.360,Conservative tracer,1.0,0.999992
3.400,Conservative tracer,1.0,0.999994
3.440,Conservative tracer,1.0,0.999995
3.480,Conservative tracer,1.0,0.999996
3.520,Conservative tracer,1.0,0.999997
3.560,Conservative tracer,1.0,0.999997
3.600,Conservative tracer,1.0,0.999998
3.640,Conservative tracer,1.0,0.999998
3.680,Conservative tracer,1.0,0.999998
3.720,Conservative tracer,1.0,0.999999
3.760,Conservative tracer,1.0,0.999999
3.800,Conservative tracer,1.0,0.999999
3.840,Conservative tracer,1.0,0.999999
3.880,Conservative tracer,1.0,0.999999
3.920,Conservative tracer,1.0,1.000000
3.960,Conservative tracer,1.0,1.000000
4.000,Conservative tracer,1.0,1.000000
0.000,Weak sorption,2.0,0.000045
0.040,Weak sorption,2.0,0.000055
0.080,Weak sorption,2.0,0.000068
0.120,Weak sorption,2.0,0.000083
0.160,Weak sorption,2.0,0.000101
0.200,Weak sorption,2.0,0.000123
0.240,Weak sorption,2.0,0.000151
0.280,Weak sorption,2.0,0.000184
0.320,Weak sorption,2.0,0.000225
0.360,Weak sorption,2.0,0.000275
0.400,Weak sorption,2.0,0.000335
0.440,Weak sorption,2.0,0.000410
0.480,Weak sorption,2.0,0.000500
0.520,Weak sorption,2.0,0.000611
0.560,Weak sorption,2.0,0.000746
0.600,Weak sorption,2.0,0.000911
0.640,Weak sorption,2.0,0.001113
0.680,Weak sorption,2.0,0.001359
0.720,Weak sorption,2.0,0.001659
0.760,Weak sorption,2.0,0.002025
0.800,Weak sorption,2.0,0.002473
0.840,Weak sorption,2.0,0.003018
0.880,Weak sorption,2.0,0.003684
0.920,Weak sorption,2.0,0.004496
0.960,Weak sorption,2.0,0.005486
1.000,Weak sorption,2.0,0.006693
1.040,Weak sorption,2.0,0.008163
1.080,Weak sorption,2.0,0.009952
1.120,Weak sorption,2.0,0.012128
1.160,Weak sorption,2.0,0.014774
1.200,Weak sorption,2.0,0.017986
1.240,Weak sorption,2.0,0.021881
1.280,Weak sorption,2.0,0.026597
1.320,Weak sorption,2.0,0.032295
1.360,Weak sorption,2.0,0.039166
1.400,Weak sorption,2.0,0.047426
1.440,Weak sorption,2.0,0.057324
1.480,Weak sorption,2.0,0.069138
1.520,Weak sorption,2.0,0.083173
1.560,Weak sorption,2.0,0.099750
1.600,Weak sorption,2.0,0.119203
1.640,Weak sorption,2.0,0.141851
1.680,Weak sorption,2.0,0.167982
1.720,Weak sorption,2.0,0.197816
1.760,Weak sorption,2.0,0.231475
1.800,Weak sorption,2.0,0.268941
1.840,Weak sorption,2.0,0.310026
1.880,Weak sorption,2.0,0.354344
1.920,Weak sorption,2.0,0.401312
1.960,Weak sorption,2.0,0.450166
2.000,Weak sorption,2.0,0.500000
2.040,Weak sorption,2.0,0.549834
2.080,Weak sorption,2.0,0.598688
2.120,Weak sorption,2.0,0.645656
2.160,Weak sorption,2.0,0.689974
2.200,Weak sorption,2.0,0.731059
2.240,Weak sorption,2.0,0.768525
2.280,Weak sorption,2.0,0.802184
2.320,Weak sorption,2.0,0.832018
2.360,Weak sorption,2.0,0.858149
2.400,Weak sorption,2.0,0.880797
2.440,Weak sorption,2.0,0.900250
2.480,Weak sorption,2.0,0.916827
2.520,Weak sorption,2.0,0.930862
2.560,Weak sorption,2.0,0.942676
2.600,Weak sorption,2.0,0.952574
2.640,Weak sorption,2.0,0.960834
2.680,Weak sorption,2.0,0.967705
2.720,Weak sorption,2.0,0.973403
2.760,Weak sorption,2.0,0.978119
2.800,Weak sorption,2.0,0.982014
2.840,Weak sorption,2.0,0.985226
2.880,Weak sorption,2.0,0.987872
2.920,Weak sorption,2.0,0.990048
2.960,Weak sorption,2.0,0.991837
3.000,Weak sorption,2.0,0.993307
3.040,Weak sorption,2.0,0.994514
3.080,Weak sorption,2.0,0.995504
3.120,Weak sorption,2.0,0.996316
3.160,Weak sorption,2.0,0.996982
3.200,Weak sorption,2.0,0.997527
3.240,Weak sorption,2.0,0.997975
3.280,Weak sorption,2.0,0.998341
3.320,Weak sorption,2.0,0.998641
3.360,Weak sorption,2.0,0.998887
3.400,Weak sorption,2.0,0.999089
3.440,Weak sorption,2.0,0.999254
3.480,Weak sorption,2.0,0.999389
3.520,Weak sorption,2.0,0.999500
3.560,Weak sorption,2.0,0.999590
3.600,Weak sorption,2.0,0.999665
3.640,Weak sorption,2.0,0.999725
3.680,Weak sorption,2.0,0.999775
3.720,Weak sorption,2.0,0.999816
3.760,Weak sorption,2.0,0.999849
3.800,Weak sorption,2.0,0.999877
3.840,Weak sorption,2.0,0.999899
3.880,Weak sorption,2.0,0.999917
3.920,Weak sorption,2.0,0.999932
3.960,Weak sorption,2.0,0.999945
4.000,Weak sorption,2.0,0.999955
0.000,Moderate sorption,5.0,0.000000
0.040,Moderate sorption,5.0,0.000000
0.080,Moderate sorption,5.0,0.000000
0.120,Moderate sorption,5.0,0.000000
0.160,Moderate sorption,5.0,0.000000
0.200,Moderate sorption,5.0,0.000000
0.240,Moderate sorption,5.0,0.000000
0.280,Moderate sorption,5.0,0.000000
0.320,Moderate sorption,5.0,0.000000
0.360,Moderate sorption,5.0,0.000000
0.400,Moderate sorption,5.0,0.000000
0.440,Moderate sorption,5.0,0.000000
0.480,Moderate sorption,5.0,0.000000
0.520,Moderate sorption,5.0,0.000000
0.560,Moderate sorption,5.0,0.000000
0.600,Moderate sorption,5.0,0.000000
0.640,Moderate sorption,5.0,0.000000
0.680,Moderate sorption,5.0,0.000000
0.720,Moderate sorption,5.0,0.000000
0.760,Moderate sorption,5.0,0.000000
0.800,Moderate sorption,5.0,0.000000
0.840,Moderate sorption,5.0,0.000000
0.880,Moderate sorption,5.0,0.000000
0.920,Moderate sorption,5.0,0.000000
0.960,Moderate sorption,5.0,0.000000
1.000,Moderate sorption,5.0,0.000000
1.040,Moderate sorption,5.0,0.000000
1.080,Moderate sorption,5.0,0.000000
1.120,Moderate sorption,5.0,0.000000
1.160,Moderate sorption,5.0,0.000000
1.200,Moderate sorption,5.0,0.000000
1.240,Moderate sorption,5.0,0.000000
1.280,Moderate sorption,5.0,0.000000
1.320,Moderate sorption,5.0,0.000000
1.360,Moderate sorption,5.0,0.000000
1.400,Moderate sorption,5.0,0.000000
1.440,Moderate sorption,5.0,0.000000
1.480,Moderate sorption,5.0,0.000000
1.520,Moderate sorption,5.0,0.000000
1.560,Moderate sorption,5.0,0.000000
1.600,Moderate sorption,5.0,0.000000
1.640,Moderate sorption,5.0,0.000000
1.680,Moderate sorption,5.0,0.000000
1.720,Moderate sorption,5.0,0.000000
1.760,Moderate sorption,5.0,0.000000
1.800,Moderate sorption,5.0,0.000000
1.840,Moderate sorption,5.0,0.000000
1.880,Moderate sorption,5.0,0.000000
1.920,Moderate sorption,5.0,0.000000
1.960,Moderate sorption,5.0,0.000000
2.000,Moderate sorption,5.0,0.000000
2.040,Moderate sorption,5.0,0.000000
2.080,Moderate sorption,5.0,0.000000
2.120,Moderate sorption,5.0,0.000001
2.160,Moderate sorption,5.0,0.000001
2.200,Moderate sorption,5.0,0.000001
2.240,Moderate sorption,5.0,0.000001
2.280,Moderate sorption,5.0,0.000001
2.320,Moderate sorption,5.0,0.000002
2.360,Moderate sorption,5.0,0.000002
2.400,Moderate sorption,5.0,0.000002
2.440,Moderate sorption,5.0,0.000003
2.480,Moderate sorption,5.0,0.000003
2.520,Moderate sorption,5.0,0.000004
2.560,Moderate sorption,5.0,0.000005
2.600,Moderate sorption,5.0,0.000006
2.640,Moderate sorption,5.0,0.000008
2.680,Moderate sorption,5.0,0.000009
2.720,Moderate sorption,5.0,0.000011
2.760,Moderate sorption,5.0,0.000014
2.800,Moderate sorption,5.0,0.000017
2.840,Moderate sorption,5.0,0.000020
2.880,Moderate sorption,5.0,0.000025
2.920,Moderate sorption,5.0,0.000030
2.960,Moderate sorption,5.0,0.000037
3.000,Moderate sorption,5.0,0.000045
3.040,Moderate sorption,5.0,0.000055
3.080,Moderate sorption,5.0,0.000068
3.120,Moderate sorption,5.0,0.000083
3.160,Moderate sorption,5.0,0.000101
3.200,Moderate sorption,5.0,0.000123
3.240,Moderate sorption,5.0,0.000151
3.280,Moderate sorption,5.0,0.000184
3.320,Moderate sorption,5.0,0.000225
3.360,Moderate sorption,5.0,0.000275
3.400,Moderate sorption,5.0,0.000335
3.440,Moderate sorption,5.0,0.000410
3.480,Moderate sorption,5.0,0.000500
3.520,Moderate sorption,5.0,0.000611
3.560,Moderate sorption,5.0,0.000746
3.600,Moderate sorption,5.0,0.000911
3.640,Moderate sorption,5.0,0.001113
3.680,Moderate sorption,5.0,0.001359
3.720,Moderate sorption,5.0,0.001659
3.760,Moderate sorption,5.0,0.002025
3.800,Moderate sorption,5.0,0.002473
3.840,Moderate sorption,5.0,0.003018
3.880,Moderate sorption,5.0,0.003684
3.920,Moderate sorption,5.0,0.004496
3.960,Moderate sorption,5.0,0.005486
4.000,Moderate sorption,5.0,0.006693
0.000,Strong sorption,15.0,0.000000
0.040,Strong sorption,15.0,0.000000
0.080,Strong sorption,15.0,0.000000
0.120,Strong sorption,15.0,0.000000
0.160,Strong sorption,15.0,0.000000
0.200,Strong sorption,15.0,0.000000
0.240,Strong sorption,15.0,0.000000
0.280,Strong sorption,15.0,0.000000
0.320,Strong sorption,15.0,0.000000
0.360,Strong sorption,15.0,0.000000
0.400,Strong sorption,15.0,0.000000
0.440,Strong sorption,15.0,0.000000
0.480,Strong sorption,15.0,0.000000
0.520,Strong sorption,15.0,0.000000
0.560,Strong sorption,15.0,0.000000
0.600,Strong sorption,15.0,0.000000
0.640,Strong sorption,15.0,0.000000
0.680,Strong sorption,15.0,0.000000
0.720,Strong sorption,15.0,0.000000
0.760,Strong sorption,15.0,0.000000
0.800,Strong sorption,15.0,0.000000
0.840,Strong sorption,15.0,0.000000
0.880,Strong sorption,15.0,0.000000
0.920,Strong sorption,15.0,0.000000
0.960,Strong sorption,15.0,0.000000
1.000,Strong sorption,15.0,0.000000
1.040,Strong sorption,15.0,0.000000
1.080,Strong sorption,15.0,0.000000
1.120,Strong sorption,15.0,0.000000
1.160,Strong sorption,15.0,0.000000
1.200,Strong sorption,15.0,0.000000
1.240,Strong sorption,15.0,0.000000
1.280,Strong sorption,15.0,0.000000
1.320,Strong sorption,15.0,0.000000
1.360,Strong sorption,15.0,0.000000
1.400,Strong sorption,15.0,0.000000
1.440,Strong sorption,15.0,0.000000
1.480,Strong sorption,15.0,0.000000
1.520,Strong sorption,15.0,0.000000
1.560,Strong sorption,15.0,0.000000
1.600,Strong sorption,15.0,0.000000
1.640,Strong sorption,15.0,0.000000
1.680,Strong sorption,15.0,0.000000
1.720,Strong sorption,15.0,0.000000
1.760,Strong sorption,15.0,0.000000
1.800,Strong sorption,15.0,0.000000
1.840,Strong sorption,15.0,0.000000
1.880,Strong sorption,15.0,0.000000
1.920,Strong sorption,15.0,0.000000
1.960,Strong sorption,15.0,0.000000
2.000,Strong sorption,15.0,0.000000
2.040,Strong sorption,15.0,0.000000
2.080,Strong sorption,15.0,0.000000
2.120,Strong sorption,15.0,0.000000
2.160,Strong sorption,15.0,0.000000
2.200,Strong sorption,15.0,0.000000
2.240,Strong sorption,15.0,0.000000
2.280,Strong sorption,15.0,0.000000
2.320,Strong sorption,15.0,0.000000
2.360,Strong sorption,15.0,0.000000
2.400,Strong sorption,15.0,0.000000
2.440,Strong sorption,15.0,0.000000
2.480,Strong sorption,15.0,0.000000
2.520,Strong sorption,15.0,0.000000
2.560,Strong sorption,15.0,0.000000
2.600,Strong sorption,15.0,0.000000
2.640,Strong sorption,15.0,0.000000
2.680,Strong sorption,15.0,0.000000
2.720,Strong sorption,15.0,0.000000
2.760,Strong sorption,15.0,0.000000
2.800,Strong sorption,15.0,0.000000
2.840,Strong sorption,15.0,0.000000
2.880,Strong sorption,15.0,0.000000
2.920,Strong sorption,15.0,0.000000
2.960,Strong sorption,15.0,0.000000
3.000,Strong sorption,15.0,0.000000
3.040,Strong sorption,15.0,0.000000
3.080,Strong sorption,15.0,0.000000
3.120,Strong sorption,15.0,0.000000
3.160,Strong sorption,15.0,0.000000
3.200,Strong sorption,15.0,0.000000
3.240,Strong sorption,15.0,0.000000
3.280,Strong sorption,15.0,0.000000
3.320,Strong sorption,15.0,0.000000
3.360,Strong sorption,15.0,0.000000
3.400,Strong sorption,15.0,0.000000
3.440,Strong sorption,15.0,0.000000
3.480,Strong sorption,15.0,0.000000
3.520,Strong sorption,15.0,0.000000
3.560,Strong sorption,15.0,0.000000
3.600,Strong sorption,15.0,0.000000
3.640,Strong sorption,15.0,0.000000
3.680,Strong sorption,15.0,0.000000
3.720,Strong sorption,15.0,0.000000
3.760,Strong sorption,15.0,0.000000
3.800,Strong sorption,15.0,0.000000
3.840,Strong sorption,15.0,0.000000
3.880,Strong sorption,15.0,0.000000
3.920,Strong sorption,15.0,0.000000
3.960,Strong sorption,15.0,0.000000
4.000,Strong sorption,15.0,0.000000
