sample_id,scenario,type,temperature_c,pH,pe,alkalinity_mg_l_as_caco3,Ca_mg_l,Mg_mg_l,Na_mg_l,K_mg_l,Cl_mg_l,SO4_mg_l,Ba_mg_l,Sr_mg_l,Fe_mg_l,Mn_mg_l,U_mg_l,Ra226_Bq_l,Ra_mg_l,ionic_strength_proxy,tailings_signature_score,u_carbonate_redox_score,ra_sulfate_ba_sr_score,phreeqc_sim,phreeqc_state,phreeqc_soln,phreeqc_pH,phreeqc_pe,phreeqc_temp,phreeqc_Alk,phreeqc_mu,phreeqc_mass_H2O,phreeqc_charge,phreeqc_pct_err,phreeqc_U,phreeqc_Ra,phreeqc_Ba,phreeqc_Sr,phreeqc_Ca,phreeqc_Mg,phreeqc_Na,phreeqc_K,phreeqc_Cl,phreeqc_S,phreeqc_C,phreeqc_Fe,phreeqc_Mn,phreeqc_m_UO2+2,phreeqc_m_UO2CO3,phreeqc_m_UO2(CO3)2-2,phreeqc_m_UO2(CO3)3-4,phreeqc_m_Ra+2,phreeqc_m_Ba+2,phreeqc_m_Sr+2,phreeqc_m_SO4-2,phreeqc_m_HCO3-,phreeqc_si_Calcite,phreeqc_si_Dolomite,phreeqc_si_Barite,phreeqc_si_Celestite,phreeqc_si_Gypsum,phreeqc_si_Uraninite,phreeqc_si_Coffinite,phreeqc_si_Goethite,phreeqc_si_Manganite,phreeqc_si_Pyrolusite,phreeqc_si_RaSO4,si_Calcite,si_Barite,si_Celestite,si_Gypsum,si_Uraninite,si_Coffinite,si_RaSO4
OX-CARB-01,shallow oxidizing carbonate groundwater,oxidizing carbonate,10.0,7.85,8.0,245.0,72.0,24.0,58.0,3.2,34.0,42.0,0.025,0.42,0.015,0.008,0.085,0.08,2.1872279712844688e-09,0.23,0.15330197291192216,1.0,0.18896884880410508,2.0,i_soln,1.0,7.85,8.0,10.0,0.00489887,0.0101574,1.0,0.00145436,10.1483,3.5727e-07,9.6816e-15,1.8213e-07,4.7957e-06,0.0017974,0.00098792,0.0025241,8.1884e-05,0.00095948,0.00043752,0.0050365,2.6872e-07,1.4569e-07,9.5391e-15,2.8374e-10,5.8029e-08,2.972e-07,9.6816e-15,1.8171e-07,4.6263e-06,0.00036953,0.0047062,0.4707,1.783,-0.2654,-3.4481,-2.0401,-16.0573,-999.999,4.301,-1.5129,-3.4791,-6.9355,0.4707,-0.2654,-3.4481,-2.0401,-16.0573,-999.999,-6.9355
RED-BRINE-01,deep reducing saline fracture groundwater,reducing brine,18.0,7.25,-3.0,155.0,185.0,78.0,820.0,18.0,1450.0,8.0,0.18,3.8,1.6,0.42,0.0015,0.95,2.5973332159003063e-08,2.541,0.55,0.2801679212507239,0.55,3.0,i_soln,2.0,7.25,-3.0,18.0,0.00310625,0.0554117,1.0,0.00779803,8.18246,6.3189e-09,1.1523e-13,1.3143e-06,4.3487e-05,0.0046286,0.003218,0.035765,0.00046163,0.041011,8.3524e-05,0.003421,2.8728e-05,7.6658e-06,3.3565e-19,1.1322e-15,6.8544e-14,1.0543e-13,1.1523e-13,1.3067e-06,4.2931e-05,6.0242e-05,0.0028353,0.0111,1.0293,-0.6873,-3.5949,-2.7305,1.1722,-999.999,-0.2729,-12.364,-25.0197,-7.2228,0.0111,-0.6873,-3.5949,-2.7305,1.1722,-999.999,-7.2228
TAIL-SO4-01,tailings-influenced high-sulfate seepage,tailings sulfate,12.0,6.75,4.2,88.0,285.0,112.0,135.0,8.4,165.0,1040.0,0.018,2.6,0.34,0.23,0.044,0.32,8.748911885137875e-09,1.737,0.7704104722783187,0.22909090909090907,0.6983101920418918,4.0,i_soln,3.0,6.75,4.2,12.0,0.00176199,0.0399922,1.0,0.00153839,3.32726,1.8519e-07,3.8779e-14,1.3132e-07,2.9728e-05,0.0071242,0.0046166,0.005883,0.00021524,0.0046627,0.010849,0.00245,6.0993e-06,4.1942e-06,2.4097e-11,1.4389e-08,1.1441e-07,3.5073e-08,3.8779e-14,1.3123e-07,2.1492e-05,0.0079463,0.0016534,-0.6786,-0.4609,0.6227,-1.7095,-0.4394,-5.2244,-999.999,4.4362,-7.2154,-13.8486,-5.3251,-0.6786,0.6227,-1.7095,-0.4394,-5.2244,-999.999,-5.3251
MIX-TAIL-01,oxidizing carbonate mixed with tailings sulfate (10% second end-member),mixing path,10.2,7.739999999999999,7.62,229.3,93.3,32.800000000000004,65.7,3.7200000000000006,47.1,141.8,0.024300000000000002,0.638,0.0475,0.030200000000000005,0.08090000000000001,0.10400000000000001,2.8433963626698096e-09,0.38070000000000004,0.36910406398290396,0.922909090909091,0.355319519152694,5.0,i_soln,4.0,7.74,7.62,10.2,0.00458556,0.0134708,1.0,0.00146218,8.19017,3.4008e-07,1.2588e-14,1.7706e-07,7.2859e-06,0.0023294,0.0013503,0.0028595,9.5203e-05,0.0013293,0.0014773,0.0047611,8.5106e-07,5.5005e-07,2.0333e-14,4.1266e-10,6.4254e-08,2.7331e-07,1.2588e-14,1.7676e-07,6.6212e-06,0.0012187,0.004392,0.4063,1.6725,0.1918,-2.819,-1.467,-14.995,-999.999,4.8073,-1.6473,-4.0801,-6.3545,0.4063,0.1918,-2.819,-1.467,-14.995,-999.999,-6.3545
MIX-TAIL-02,oxidizing carbonate mixed with tailings sulfate (25% second end-member),mixing path,10.5,7.574999999999999,7.05,205.75,125.25,46.0,77.25,4.5,66.75,291.5,0.023250000000000003,0.9650000000000001,0.09625,0.0635,0.07475,0.14,3.827648949747821e-09,0.60675,0.5072670619029201,0.8072727272727273,0.473506498038631,6.0,i_soln,5.0,7.575,7.05,10.5,0.00411545,0.0182339,1.0,0.00147392,6.42839,3.1429e-07,1.6948e-14,1.6944e-07,1.1022e-05,0.0031277,0.0018942,0.0033629,0.00011519,0.0018843,0.0030376,0.0043571,1.7249e-06,1.1568e-06,6.5356e-14,7.5662e-10,7.6663e-08,2.3393e-07,1.6948e-14,1.6925e-07,9.3877e-06,0.0024353,0.0039272,0.2787,1.4317,0.4141,-2.4199,-1.1064,-13.3803,-999.999,5.1195,-2.3968,-5.5294,-5.9874,0.2787,0.4141,-2.4199,-1.1064,-13.3803,-999.999,-5.9874
MIX-TAIL-03,oxidizing carbonate mixed with tailings sulfate (50% second end-member),mixing path,11.0,7.3,6.1,166.5,178.5,68.0,96.5,5.800000000000001,99.5,541.0,0.0215,1.51,0.17750000000000002,0.11900000000000001,0.0645,0.2,5.468069928211172e-09,0.9835,0.6324845017306344,0.6145454545454546,0.583164760097074,7.0,i_soln,6.0,7.3,6.1,11.0,0.00333149,0.0257891,1.0,0.00149353,4.81756,2.7129e-07,2.422e-14,1.5674e-07,1.7253e-05,0.004459,0.002801,0.0042024,0.00014852,0.0028098,0.0056395,0.003708,3.182e-06,2.1686e-06,4.7543e-13,2.1591e-09,1.0177e-07,1.6175e-07,2.422e-14,1.5662e-07,1.3648e-05,0.0043572,0.003161,0.0132,0.9126,0.5551,-2.0722,-0.785,-10.6621,-999.999,5.3816,-3.9173,-8.2166,-5.6632,0.0132,0.5551,-2.0722,-0.785,-10.6621,-999.999,-5.6632
MIX-TAIL-04,oxidizing carbonate mixed with tailings sulfate (75% second end-member),mixing path,11.5,7.025,5.15,127.25,231.75,90.0,115.75,7.1000000000000005,132.25,790.5,0.019749999999999997,2.055,0.25875,0.17450000000000002,0.05425000000000001,0.26,7.108490906674524e-09,1.36025,0.7119234256139318,0.42181818181818187,0.6509829036408815,8.0,i_soln,7.0,7.025,5.15,11.5,0.00254701,0.0330105,1.0,0.00151414,3.90858,2.2826e-07,3.1497e-14,1.4403e-07,2.3489e-05,0.0057911,0.0037085,0.0050424,0.00018187,0.0037359,0.0082431,0.003084,4.6401e-06,3.1811e-06,3.4479e-12,5.9276e-09,1.211e-07,9.0178e-08,3.1497e-14,1.4394e-07,1.765e-05,0.0061862,0.0024026,-0.3035,0.2853,0.6077,-1.8607,-0.5847,-7.9376,-999.999,5.4172,-5.5447,-11.0109,-5.4652,-0.3035,0.6077,-1.8607,-0.5847,-7.9376,-999.999,-5.4652
MIX-TAIL-05,oxidizing carbonate mixed with tailings sulfate (90% second end-member),mixing path,11.8,6.86,4.58,103.69999999999999,263.7,103.2,127.3,7.880000000000001,151.9,940.2,0.018699999999999998,2.382,0.30750000000000005,0.2078,0.0481,0.29600000000000004,8.092743493752536e-09,1.5863000000000003,0.7488105149026372,0.3061818181818181,0.6811979401621291,9.0,i_soln,8.0,6.86,4.58,11.8,0.00207606,0.0372252,1.0,0.00152898,3.53414,2.0242e-07,3.5866e-14,1.364e-07,2.7232e-05,0.0065909,0.0042533,0.0055467,0.00020189,0.0042919,0.0098061,0.0027105,5.5155e-06,3.7889e-06,1.1122e-11,1.0295e-08,1.215e-07,5.417e-08,3.5866e-14,1.3631e-07,1.9971e-05,0.0072495,0.0019522,-0.52,-0.145,0.6199,-1.7649,-0.4928,-6.3082,-999.999,4.9831,-6.5436,-12.7101,-5.3762,-0.52,0.6199,-1.7649,-0.4928,-6.3082,-999.999,-5.3762
MIX-RED-01,oxidizing carbonate mixed with reducing brine (10% second end-member),mixing path,10.8,7.789999999999999,6.9,236.0,83.3,29.400000000000002,134.2,4.680000000000001,175.6,38.6,0.0405,0.758,0.17350000000000004,0.0492,0.07665000000000001,0.167,4.565838390056329e-09,0.4611,0.4070567051214078,0.9280167921250724,0.31396483410298603,10.0,i_soln,9.0,7.79,6.9,10.8,0.00471997,0.014651,1.0,0.00208457,9.31056,3.2225e-07,2.0215e-14,2.9512e-07,8.6571e-06,0.0020799,0.0012105,0.0058415,0.00011978,0.0049566,0.00040219,0.0048683,3.1089e-06,8.9618e-07,1.2439e-14,2.8907e-10,5.3897e-08,2.6646e-07,2.0215e-14,2.9437e-07,8.4041e-06,0.00033286,0.0045024,0.4372,1.7479,-0.1759,-3.292,-2.0759,-13.7866,-999.999,5.3953,-1.9773,-5.0099,-6.7445,0.4372,-0.1759,-3.292,-2.0759,-13.7866,-999.999,-6.7445
MIX-RED-02,oxidizing carbonate mixed with reducing brine (25% second end-member),mixing path,12.0,7.699999999999999,5.25,222.5,100.25,37.5,248.5,6.9,388.0,33.5,0.06375,1.265,0.41125,0.111,0.064125,0.2975,8.133754018214118e-09,0.80775,0.5039017083962734,0.8200419803126809,0.41987892952829997,11.0,i_soln,10.0,7.7,5.25,12.0,0.00445147,0.0214066,1.0,0.00303045,8.78495,2.6968e-07,3.6024e-14,4.647e-07,1.4452e-05,0.002504,0.0015445,0.01082,0.00017666,0.010956,0.00034917,0.0046185,7.3715e-06,2.0226e-06,1.8902e-14,3.1124e-10,4.9567e-08,2.1835e-07,3.6024e-14,4.6332e-07,1.4117e-05,0.000281,0.0042058,0.3815,1.6719,-0.145,-3.2077,-2.1324,-10.3621,-999.999,5.8144,-3.5057,-8.139,-6.6727,0.3815,-0.145,-3.2077,-2.1324,-10.3621,-999.999,-6.6727
MIX-RED-03,oxidizing carbonate mixed with reducing brine (50% second end-member),mixing path,14.0,7.55,2.5,200.0,128.5,51.0,439.0,10.6,742.0,25.0,0.1025,2.11,0.8075,0.214,0.043250000000000004,0.515,1.4080280065143768e-08,1.3855,0.5650051325780943,0.6400839606253619,0.5140693101603726,12.0,i_soln,11.0,7.55,2.5,14.0,0.00400357,0.0327134,1.0,0.0046199,8.44084,1.8199e-07,6.2395e-14,7.4759e-07,2.412e-05,0.0032114,0.0021017,0.019126,0.00027155,0.020963,0.00026072,0.0042173,1.4482e-05,3.9015e-06,3.673e-14,3.5232e-10,4.1832e-08,1.3856e-07,6.2395e-14,7.4473e-07,2.37e-05,0.00020136,0.0037334,0.274,1.4989,-0.2095,-3.2119,-2.25,-4.6544,-999.999,5.4763,-6.3621,-13.666,-6.7261,0.274,-0.2095,-3.2119,-2.25,-4.6544,-999.999,-6.7261
MIX-RED-04,oxidizing carbonate mixed with reducing brine (75% second end-member),mixing path,16.0,7.4,-0.25,177.5,156.75,64.5,629.5,14.3,1096.0,16.5,0.14125000000000001,2.9549999999999996,1.20375,0.317,0.022375000000000003,0.7324999999999999,2.0026806112073413e-08,1.96325,0.5792502512502558,0.4601259409380429,0.5563479247683067,13.0,i_soln,12.0,7.4,-0.25,16.0,0.00355516,0.044052,1.0,0.0062095,8.27867,9.4205e-08,8.8796e-14,1.0308e-06,3.3798e-05,0.0039196,0.0026595,0.027441,0.00036654,0.030981,0.00017217,0.0038192,2.1601e-05,5.7826e-06,5.5072e-14,3.13e-10,2.69e-08,6.2328e-08,8.8796e-14,1.0259e-06,3.3313e-05,0.00012827,0.0032783,0.1501,1.2821,-0.3717,-3.3245,-2.4224,0.951,-999.999,2.6765,-9.3375,-19.3155,-6.8949,0.1501,-0.3717,-3.3245,-2.4224,0.951,-999.999,-6.8949
MIX-RED-05,oxidizing carbonate mixed with reducing brine (90% second end-member),mixing path,17.2,7.3100000000000005,-1.9000000000000004,164.0,173.7,72.60000000000001,743.8,16.52,1308.4,11.399999999999999,0.1645,3.4619999999999997,1.4415000000000002,0.3788,0.00985,0.863,2.3594721740231206e-08,2.3099000000000003,0.5689197995555383,0.35215112912565144,0.5602778012307307,14.0,i_soln,13.0,7.31,-1.9,17.2,0.00328587,0.0508651,1.0,0.00716247,8.21567,4.1485e-08,1.0465e-13,1.2009e-06,3.961e-05,0.0043449,0.0029945,0.032434,0.00042358,0.036998,0.000119,0.0035801,2.5876e-05,6.9123e-06,3.2697e-16,1.3596e-12,9.5003e-11,1.7312e-10,1.0465e-13,1.1944e-06,3.9084e-05,8.6914e-05,0.0030112,0.0685,1.1345,-0.5314,-3.4567,-2.579,1.9857,-999.999,0.9115,-11.1491,-22.7333,-7.0616,0.0685,-0.5314,-3.4567,-2.579,1.9857,-999.999,-7.0616
