         sim	       state	        soln	          pH	          pe	        temp	         Alk	          mu	    mass_H2O	      charge	     pct_err	           U	          Ra	          Ba	          Sr	          Ca	          Mg	          Na	           K	          Cl	           S	           C	          Fe	          Mn	     m_UO2+2	    m_UO2CO3	m_UO2(CO3)2-2	m_UO2(CO3)3-4	      m_Ra+2	      m_Ba+2	      m_Sr+2	     m_SO4-2	     m_HCO3-	  si_Calcite	 si_Dolomite	   si_Barite	si_Celestite	   si_Gypsum	si_Uraninite	si_Coffinite	 si_Goethite	si_Manganite	si_Pyrolusite	    si_RaSO4	
           2	      i_soln	           1	        7.85	           8	      10.000	  0.00489887	   0.0101574	           1	  0.00145436	     10.1483	  3.5727e-07	  9.6816e-15	  1.8213e-07	  4.7957e-06	  1.7974e-03	  9.8792e-04	  2.5241e-03	  8.1884e-05	  9.5948e-04	  4.3752e-04	  5.0365e-03	  2.6872e-07	  1.4569e-07	  9.5391e-15	  2.8374e-10	  5.8029e-08	  2.9720e-07	  9.6816e-15	  1.8171e-07	  4.6263e-06	  3.6953e-04	  4.7062e-03	      0.4707	      1.7830	     -0.2654	     -3.4481	     -2.0401	    -16.0573	   -999.9990	      4.3010	     -1.5129	     -3.4791	     -6.9355	
           3	      i_soln	           2	        7.25	          -3	      18.000	  0.00310625	   0.0554117	           1	  0.00779803	     8.18246	  6.3189e-09	  1.1523e-13	  1.3143e-06	  4.3487e-05	  4.6286e-03	  3.2180e-03	  3.5765e-02	  4.6163e-04	  4.1011e-02	  8.3524e-05	  3.4210e-03	  2.8728e-05	  7.6658e-06	  3.3565e-19	  1.1322e-15	  6.8544e-14	  1.0543e-13	  1.1523e-13	  1.3067e-06	  4.2931e-05	  6.0242e-05	  2.8353e-03	      0.0111	      1.0293	     -0.6873	     -3.5949	     -2.7305	      1.1722	   -999.9990	     -0.2729	    -12.3640	    -25.0197	     -7.2228	
           4	      i_soln	           3	        6.75	         4.2	      12.000	  0.00176199	   0.0399922	           1	  0.00153839	     3.32726	  1.8519e-07	  3.8779e-14	  1.3132e-07	  2.9728e-05	  7.1242e-03	  4.6166e-03	  5.8830e-03	  2.1524e-04	  4.6627e-03	  1.0849e-02	  2.4500e-03	  6.0993e-06	  4.1942e-06	  2.4097e-11	  1.4389e-08	  1.1441e-07	  3.5073e-08	  3.8779e-14	  1.3123e-07	  2.1492e-05	  7.9463e-03	  1.6534e-03	     -0.6786	     -0.4609	      0.6227	     -1.7095	     -0.4394	     -5.2244	   -999.9990	      4.4362	     -7.2154	    -13.8486	     -5.3251	
           5	      i_soln	           4	        7.74	        7.62	      10.200	  0.00458556	   0.0134708	           1	  0.00146218	     8.19017	  3.4008e-07	  1.2588e-14	  1.7706e-07	  7.2859e-06	  2.3294e-03	  1.3503e-03	  2.8595e-03	  9.5203e-05	  1.3293e-03	  1.4773e-03	  4.7611e-03	  8.5106e-07	  5.5005e-07	  2.0333e-14	  4.1266e-10	  6.4254e-08	  2.7331e-07	  1.2588e-14	  1.7676e-07	  6.6212e-06	  1.2187e-03	  4.3920e-03	      0.4063	      1.6725	      0.1918	     -2.8190	     -1.4670	    -14.9950	   -999.9990	      4.8073	     -1.6473	     -4.0801	     -6.3545	
           6	      i_soln	           5	       7.575	        7.05	      10.500	  0.00411545	   0.0182339	           1	  0.00147392	     6.42839	  3.1429e-07	  1.6948e-14	  1.6944e-07	  1.1022e-05	  3.1277e-03	  1.8942e-03	  3.3629e-03	  1.1519e-04	  1.8843e-03	  3.0376e-03	  4.3571e-03	  1.7249e-06	  1.1568e-06	  6.5356e-14	  7.5662e-10	  7.6663e-08	  2.3393e-07	  1.6948e-14	  1.6925e-07	  9.3877e-06	  2.4353e-03	  3.9272e-03	      0.2787	      1.4317	      0.4141	     -2.4199	     -1.1064	    -13.3803	   -999.9990	      5.1195	     -2.3968	     -5.5294	     -5.9874	
           7	      i_soln	           6	         7.3	         6.1	      11.000	  0.00333149	   0.0257891	           1	  0.00149353	     4.81756	  2.7129e-07	  2.4220e-14	  1.5674e-07	  1.7253e-05	  4.4590e-03	  2.8010e-03	  4.2024e-03	  1.4852e-04	  2.8098e-03	  5.6395e-03	  3.7080e-03	  3.1820e-06	  2.1686e-06	  4.7543e-13	  2.1591e-09	  1.0177e-07	  1.6175e-07	  2.4220e-14	  1.5662e-07	  1.3648e-05	  4.3572e-03	  3.1610e-03	      0.0132	      0.9126	      0.5551	     -2.0722	     -0.7850	    -10.6621	   -999.9990	      5.3816	     -3.9173	     -8.2166	     -5.6632	
           8	      i_soln	           7	       7.025	        5.15	      11.500	  0.00254701	   0.0330105	           1	  0.00151414	     3.90858	  2.2826e-07	  3.1497e-14	  1.4403e-07	  2.3489e-05	  5.7911e-03	  3.7085e-03	  5.0424e-03	  1.8187e-04	  3.7359e-03	  8.2431e-03	  3.0840e-03	  4.6401e-06	  3.1811e-06	  3.4479e-12	  5.9276e-09	  1.2110e-07	  9.0178e-08	  3.1497e-14	  1.4394e-07	  1.7650e-05	  6.1862e-03	  2.4026e-03	     -0.3035	      0.2853	      0.6077	     -1.8607	     -0.5847	     -7.9376	   -999.9990	      5.4172	     -5.5447	    -11.0109	     -5.4652	
           9	      i_soln	           8	        6.86	        4.58	      11.800	  0.00207606	   0.0372252	           1	  0.00152898	     3.53414	  2.0242e-07	  3.5866e-14	  1.3640e-07	  2.7232e-05	  6.5909e-03	  4.2533e-03	  5.5467e-03	  2.0189e-04	  4.2919e-03	  9.8061e-03	  2.7105e-03	  5.5155e-06	  3.7889e-06	  1.1122e-11	  1.0295e-08	  1.2150e-07	  5.4170e-08	  3.5866e-14	  1.3631e-07	  1.9971e-05	  7.2495e-03	  1.9522e-03	     -0.5200	     -0.1450	      0.6199	     -1.7649	     -0.4928	     -6.3082	   -999.9990	      4.9831	     -6.5436	    -12.7101	     -5.3762	
          10	      i_soln	           9	        7.79	         6.9	      10.800	  0.00471997	    0.014651	           1	  0.00208457	     9.31056	  3.2225e-07	  2.0215e-14	  2.9512e-07	  8.6571e-06	  2.0799e-03	  1.2105e-03	  5.8415e-03	  1.1978e-04	  4.9566e-03	  4.0219e-04	  4.8683e-03	  3.1089e-06	  8.9618e-07	  1.2439e-14	  2.8907e-10	  5.3897e-08	  2.6646e-07	  2.0215e-14	  2.9437e-07	  8.4041e-06	  3.3286e-04	  4.5024e-03	      0.4372	      1.7479	     -0.1759	     -3.2920	     -2.0759	    -13.7866	   -999.9990	      5.3953	     -1.9773	     -5.0099	     -6.7445	
          11	      i_soln	          10	         7.7	        5.25	      12.000	  0.00445147	   0.0214066	           1	  0.00303045	     8.78495	  2.6968e-07	  3.6024e-14	  4.6470e-07	  1.4452e-05	  2.5040e-03	  1.5445e-03	  1.0820e-02	  1.7666e-04	  1.0956e-02	  3.4917e-04	  4.6185e-03	  7.3715e-06	  2.0226e-06	  1.8902e-14	  3.1124e-10	  4.9567e-08	  2.1835e-07	  3.6024e-14	  4.6332e-07	  1.4117e-05	  2.8100e-04	  4.2058e-03	      0.3815	      1.6719	     -0.1450	     -3.2077	     -2.1324	    -10.3621	   -999.9990	      5.8144	     -3.5057	     -8.1390	     -6.6727	
          12	      i_soln	          11	        7.55	         2.5	      14.000	  0.00400357	   0.0327134	           1	   0.0046199	     8.44084	  1.8199e-07	  6.2395e-14	  7.4759e-07	  2.4120e-05	  3.2114e-03	  2.1017e-03	  1.9126e-02	  2.7155e-04	  2.0963e-02	  2.6072e-04	  4.2173e-03	  1.4482e-05	  3.9015e-06	  3.6730e-14	  3.5232e-10	  4.1832e-08	  1.3856e-07	  6.2395e-14	  7.4473e-07	  2.3700e-05	  2.0136e-04	  3.7334e-03	      0.2740	      1.4989	     -0.2095	     -3.2119	     -2.2500	     -4.6544	   -999.9990	      5.4763	     -6.3621	    -13.6660	     -6.7261	
          13	      i_soln	          12	         7.4	       -0.25	      16.000	  0.00355516	    0.044052	           1	   0.0062095	     8.27867	  9.4205e-08	  8.8796e-14	  1.0308e-06	  3.3798e-05	  3.9196e-03	  2.6595e-03	  2.7441e-02	  3.6654e-04	  3.0981e-02	  1.7217e-04	  3.8192e-03	  2.1601e-05	  5.7826e-06	  5.5072e-14	  3.1300e-10	  2.6900e-08	  6.2328e-08	  8.8796e-14	  1.0259e-06	  3.3313e-05	  1.2827e-04	  3.2783e-03	      0.1501	      1.2821	     -0.3717	     -3.3245	     -2.4224	      0.9510	   -999.9990	      2.6765	     -9.3375	    -19.3155	     -6.8949	
          14	      i_soln	          13	        7.31	        -1.9	      17.200	  0.00328587	   0.0508651	           1	  0.00716247	     8.21567	  4.1485e-08	  1.0465e-13	  1.2009e-06	  3.9610e-05	  4.3449e-03	  2.9945e-03	  3.2434e-02	  4.2358e-04	  3.6998e-02	  1.1900e-04	  3.5801e-03	  2.5876e-05	  6.9123e-06	  3.2697e-16	  1.3596e-12	  9.5003e-11	  1.7312e-10	  1.0465e-13	  1.1944e-06	  3.9084e-05	  8.6914e-05	  3.0112e-03	      0.0685	      1.1345	     -0.5314	     -3.4567	     -2.5790	      1.9857	   -999.9990	      0.9115	    -11.1491	    -22.7333	     -7.0616	
